기능,사용자,Method,URL,param,설명,기타
로그인,공통,POST,/auth/login,"email, password",사용자 로그인을 수행하고 토큰을 발급합니다.,자원봉사자의 경우 본인인증 절차 포함됨.
작업 모드 선택,공통,POST,/auth/mode,mode (READER/INSPECTOR),"사용자가 리더/검수자 중 어떤 모드로 진입할지 선택합니다 (F13).  ",
자원 봉사자 인증,공통,POST,/auth/verify,verificationData,"봉사자 큐 접근 전 본인인증을 수행합니다 (F15, Step V1). ",
내 정보 조회,공통,GET,/users/me,-,현재 로그인한 유저의 프로필 및 권한(Role)을 조회합니다.,
내 문서함 조회,유저,GET,/users/me/documents,status (완료/초안),"개인이 업로드한 문서 목록과 AI 초안/검수완료 상태를 봅니다 (Step R2, R3). ",
내 할당 큐 조회,검수자,GET,/user/me/queue,-,자원봉사자 본인에게 배정된 비동기 검수 대상 문서 목록을 봅니다 (Step V1).,
전체 문서 검색,검수자,GET,/search/documents,"keyword, status",기관에 업로드된 스캔 문서 중 특정 상태나 제목의 문서를 검색합니다.,
저신뢰 구간 검색,검수자,GET,/search/blocks/low-confidence,"documentId, threshold","특정 문서 내에서 AI 신뢰도가 낮은(예: 0.5 미만) 구간만 모아서 큐를 반환합니다 (F8).  ",
재검토 필요 큐 검색,검수자,GET,/search/blocks/review-needed,documentId,"체류 시간이 미달되어 다시 확인해야 하는 구간 큐를 검색합니다 (F9).  ",
스캔 업로드 및 본문 OCR,검수자,POST,/api/v1/documents/ocr,file  (Multipart),스캔 이미지를 업로드하여 본문 OCR 텍스트화 및 콘텐츠 유형(표/그래프/수식/악보)을 자동 분류함.,본문 인식률 98~99% 기준 준수.
자료 업로드,공통,POST,/documents/upload,file (form-data),"PDF 및 스캔 이미지를 업로드하고 AI 파이프라인 처리를 시작합니다 (F1, F14). ",
문서 상태 조회,공통,GET,/documents/{id}/status,id (Path),현재 AI 변환 진행 상태나 검수 완료 여부를 확인합니다.,
문서 삭제,공통,DELETE,/documents/{id},id (Path),더 이상 필요 없는 문서나 업로드된 파일을 삭제합니다.,
페이지별 블록 조회,검수자,GET,/documents/{id}/pages/{page}/blocks,"id, page","특정 페이지의 원본 이미지 매핑 좌표와 텍스트, 신뢰도 점수를 조회합니다 (F6, F7)",
블록내용수정,검수자,PATCH,/documents/{id}/blocks/{blockId},"correctedContent
",검수자가 오탈자나 수식 등을 수정한 결과를 서버에 반영합니다 (F6),
채류시간기록,검수자,POST,/documents/{id}/blocks/{blockId}/focus,durationMs,해당 구간에 커서가 머문 체류시간을 전송하여 재검토 큐(F9)에 활용합니다,
파일변환요청,검수자,POST,/documents/{id}/export,"format (DAISY, HWP)",완료된 문서를 DAISY 표준 패키지 또는 HWP로 변환하도록 요청합니다,
다운로드링크조회,공통,GET,/documents/{id}/download,id (Path),변환이 완료된 파일의 실제 다운로드 URL(예: S3 링크)을 가져옵니다.,
