sample,baseSample,condition,pipelineStatus,reviewLevel,needsReview,reviewReasons,confidenceAverage,confidenceMinimum,noteCountMatch,restCountMatch,jsonNoteCount,omrHeadCount,jsonRestCount,omrRestCount,summaryGenerated,summaryValidation,retry,fallback,claimCount,optionalSelectedBy,mandatoryFactIds,optionalFactIds,warningCount,warnings,summaryText
M01_lowq,M01,lowq,DONE,LOW,False,,0.802,0.791,True,True,8,8,28,28,True,True,False,False,4,local_llm,F002|F003,F001|F004,0,,"가장 낮은 음은 가온 도(C4)이고, 가장 높은 음은 가온 도보다 한 옥타브 높은 도(C5)입니다. 음은 전체적으로 낮은 쪽에서 높은 쪽으로 진행합니다. 박자는 4분의 4박자입니다. 전체 30마디 중 음표가 있는 마디는 2마디입니다."
M01_original,M01,original,DONE,LOW,False,,0.797,0.76,True,True,8,8,28,28,True,True,False,False,4,local_llm,F002|F003,F001|F004,0,,"가장 낮은 음은 가온 도(C4)이고, 가장 높은 음은 가온 도보다 한 옥타브 높은 도(C5)입니다. 음은 전체적으로 낮은 쪽에서 높은 쪽으로 진행합니다. 박자는 4분의 4박자입니다. 전체 30마디 중 음표가 있는 마디는 2마디입니다."
M01_small,M01,small,DONE,LOW,False,,0.799,0.784,True,True,8,8,28,28,True,True,False,False,4,local_llm,F002|F003,F001|F004,0,,"가장 낮은 음은 가온 도(C4)이고, 가장 높은 음은 가온 도보다 한 옥타브 높은 도(C5)입니다. 음은 전체적으로 낮은 쪽에서 높은 쪽으로 진행합니다. 박자는 4분의 4박자입니다. 전체 30마디 중 음표가 있는 마디는 2마디입니다."
M01_tilt,M01,tilt,DONE,HIGH,True,OMR_HEAD_JSON_NOTE_COUNT_MISMATCH|OMR_REST_JSON_REST_COUNT_MISMATCH,0.809,0.758,False,False,4,8,15,28,True,True,False,False,4,local_llm,F008|F002|F003,F004,0,,"가장 낮은 음은 가온 도(C4)이고, 가장 높은 음은 파(F4)입니다. 음은 전체적으로 낮은 쪽에서 높은 쪽으로 진행합니다. 전체 4마디 중 음표가 있는 마디는 1마디입니다. 악보 인식 결과에는 확인이 필요한 부분이 있습니다."
M02_lowq,M02,lowq,DONE,LOW,False,,0.799,0.791,True,True,8,8,28,28,True,True,False,False,4,local_llm,F002|F003,F001|F004,0,,"가장 낮은 음은 가온 도(C4)이고, 가장 높은 음은 가온 도보다 한 옥타브 높은 도(C5)입니다. 음은 전체적으로 낮은 쪽에서 높은 쪽으로 진행합니다. 박자는 4분의 4박자입니다. 전체 30마디 중 음표가 있는 마디는 2마디입니다."
M02_original,M02,original,DONE,LOW,False,,0.796,0.76,True,True,8,8,28,28,True,True,False,False,4,local_llm,F002|F003,F001|F004,0,,"가장 낮은 음은 가온 도(C4)이고, 가장 높은 음은 가온 도보다 한 옥타브 높은 도(C5)입니다. 음은 전체적으로 낮은 쪽에서 높은 쪽으로 진행합니다. 박자는 4분의 4박자입니다. 전체 30마디 중 음표가 있는 마디는 2마디입니다."
M02_small,M02,small,DONE,LOW,False,,0.798,0.784,True,True,8,8,28,28,True,True,False,False,4,local_llm,F002|F003,F001|F004,0,,"가장 낮은 음은 가온 도(C4)이고, 가장 높은 음은 가온 도보다 한 옥타브 높은 도(C5)입니다. 음은 전체적으로 낮은 쪽에서 높은 쪽으로 진행합니다. 박자는 4분의 4박자입니다. 전체 30마디 중 음표가 있는 마디는 2마디입니다."
M02_tilt,M02,tilt,DONE,HIGH,True,OMR_HEAD_JSON_NOTE_COUNT_MISMATCH|OMR_REST_JSON_REST_COUNT_MISMATCH,0.763,0.618,False,False,3,8,15,28,True,True,False,False,4,local_llm,F008|F002|F003,F004,0,,"가장 낮은 음은 가온 도(C4)이고, 가장 높은 음은 미(E4)입니다. 음은 전체적으로 낮은 쪽에서 높은 쪽으로 진행합니다. 전체 4마디 중 음표가 있는 마디는 1마디입니다. 악보 인식 결과에는 확인이 필요한 부분이 있습니다."
M03_lowq,M03,lowq,DONE,MEDIUM,True,LOW_MINIMUM_CONFIDENCE,0.798,0.659,True,True,8,8,30,30,True,True,False,False,4,local_llm,F009|F002|F003,F001,0,,"가장 낮은 음은 올림 도(C#4)이고, 가장 높은 음은 도(C-5)입니다. 음은 전체적으로 낮은 쪽에서 높은 쪽으로 진행합니다. 박자는 4분의 4박자입니다. 악보 인식 결과에는 확인이 필요한 부분이 있습니다."
M03_original,M03,original,DONE,LOW,False,,0.798,0.76,True,True,8,8,30,30,True,True,False,False,4,local_llm,F002|F003,F001|F004,0,,"가장 낮은 음은 올림 도(C#4)이고, 가장 높은 음은 도(C-5)입니다. 음은 전체적으로 낮은 쪽에서 높은 쪽으로 진행합니다. 박자는 4분의 4박자입니다. 전체 30마디 중 음표가 있는 마디는 2마디입니다."
